playerId,displayName,height,weight,dob,position,origin
2016747613.0,"Jansen, Jarrad",192.0,94.0,2-May-1995,"Midfield, Forward",East Fremantle
2013801954.0,"Paparone, Marco",194.0,88.0,3-Sep-1994,Defender,East Fremantle
2008659471.0,"Armfield, Dennis",182.0,80.0,22-Dec-1986,Forward,Swan Districts
2015667529.0,"Boekhorst, Blaine",185.0,75.0,2-Sep-1993,"Midfield, Forward",Swan Districts
2008804553.0,"Palmer, Rhys",181.0,83.0,13-Feb-1989,Forward,East Fremantle
2014834501.0,"Sheehan, Ciaran",188.0,80.0,19-Nov-1990,Defender,County Cork Ireland
2010836184.0,"Silvagni, Alex",192.0,93.0,29-Sep-1987,Defender,Casey Scorpions
2012836294.0,"Smedts, Billie",190.0,85.0,8-Jun-1992,"Midfield, Forward",Geelong Falcons
2012835246.0,"Sumner, Liam",177.0,75.0,16-Aug-1993,Forward,Sandringham Dragons
2010872263.0,"White, Simon",190.0,92.0,17-Jun-1988,Defender,Subiaco
2017751175.0,"Kirby, Kayle",182.0,89.0,26-Oct-1998,Forward,Bendigo Pioneers
2014825982.0,"Ramsay, Jackson",184.0,82.0,20-Nov-1994,Defender,East Perth
2015837771.0,"Schade, Henry",197.0,89.0,8-Oct-1993,Defender,North Hobart
2008879174.0,"White, Jesse",196.0,102.0,9-Jan-1988,Forward,Southport
2008661632.0,"Bird, Craig",179.0,84.0,21-Jan-1989,Midfield,Nelson Bay
2007725691.0,"Hocking, Heath",184.0,87.0,27-Dec-1987,Midfield,East Ringwood
2010723845.0,"Howlett, Ben",180.0,75.0,21-Oct-1988,"Midfield, Forward",Peel Thunder
2002755178.0,"Kelly, James",183.0,85.0,29-Dec-1983,"Defender, Midfield",Calder Cannons
2004837240.0,"Stanton, Brent",183.0,82.0,1-May-1986,Midfield,Northern Knights
2003874470.0,"Watson, Jobe",191.0,93.0,8-Feb-1985,Midfield,Sandringham Dragons
2017661447.0,"Balic, Harley",187.0,82.0,5-Jan-1997,"Midfield, Forward",Sandringham Dragons
2005681903.0,"Dawson, Zac",197.0,94.0,22-Feb-1986,Defender,Calder Cannons
2007715779.0,"Griffin, Jonathon",201.0,104.0,14-Jan-1986,Ruck,East Fremantle
2007734931.0,"Ibbotson, Garrick",186.0,84.0,15-Mar-1988,Defender,East Fremantle
2012838322.0,"Spurr, Lee",182.0,82.0,27-Jul-1987,Defender,Central District
2009833119.0,"Suban, Nick",182.0,85.0,9-May-1990,Midfield,North Ballarat Rebels
2014671709.0,"Currie, Daniel",201.0,96.0,15-Feb-1989,Ruck,Northern Knights
2008686669.0,"Davis, Ryan",188.0,85.0,7-Jun-1989,Forward,North Shore
2009716371.0,"Grant, Jarrad",193.0,85.0,6-Jul-1989,Forward,Dandenong Stingrays
2014725037.0,"Hallahan, Mitch",183.0,84.0,23-Aug-1992,Midfield,Dandenong Stingrays
2016879934.0,"Willis, Mackenzie",182.0,82.0,7-Aug-1995,Defender,Kingborough
2011672696.0,"Cowan, Josh",184.0,79.0,16-Mar-1991,Midfield,North Ballarat Rebels
2005764453.0,"Lonergan, Tom",197.0,95.0,17-May-1984,Defender,Calder Cannons
2004773563.0,"Mackie, Andrew",193.0,82.0,7-Aug-1984,Defender,Glenelg
2016822790.0,"Ruggles, Tom",186.0,86.0,25-Apr-1992,Defender,Geelong Vfl
2002743458.0,"Johnson, Steve",189.0,95.0,4-Jul-1983,Forward,Murray Bushrangers
2011775433.0,"Mzungu, Tendai",183.0,86.0,28-Feb-1986,Midfield,Perth
2011705438.0,"Fitzpatrick, Jack",200.0,99.0,26-Jun-1991,Ruck,Western Jets
2006712221.0,"Gibson, Josh",189.0,93.0,13-Mar-1984,Defender,Port Melbourne
2016721866.0,"Heatherley, Kurt",193.0,89.0,1-Jan-1995,Defender,Sandringham Dragons
2016833809.0,"Stewart, Kade",180.0,67.0,16-Jan-1997,Forward,South Fremantle
2009861375.0,"Vickery, Ty",200.0,100.0,31-May-1990,Forward,Sandringham Dragons
2017875332.0,"Willsmore, Dallas",191.0,85.0,29-May-1995,Midfield,North Ballarat Rebels
2009838909.0,"Spencer, Jake",203.0,103.0,9-Oct-1989,Ruck,Redwood
2015875102.0,"White, Mitch",188.0,88.0,10-Apr-1996,Defender,Dandenong Stingrays
2007729523.0,"Hansen, Lachlan",197.0,98.0,17-Aug-1988,Defender,Gippsland Power
2017771652.0,"Mountford, Declan",181.0,75.0,13-Feb-1997,"Defender, Midfield",Claremont
2017784654.0,"Nielson, Dan",194.0,96.0,9-May-1996,Defender,Eastern Ranges
2006838202.0,"Swallow, Andrew",182.0,80.0,2-Jun-1987,Midfield,East Fremantle
2017879610.0,"Williams, Josh",189.0,73.0,12-Jun-1998,Midfield,Surfers Paradise
2017691846.0,"Eddy, Brett",193.0,97.0,26-Aug-1989,Forward,South Adelaide
2005779634.0,"Monfries, Angus",185.0,78.0,19-Jan-1987,Forward,Sturt
2013849678.0,"Toumpas, Jimmy",183.0,79.0,2-Jan-1994,Midfield,Woodville-West Torrens
2006876262.0,"White, Matt",180.0,82.0,15-Apr-1987,"Midfield, Forward",Calder Cannons
2011668225.0,"Batchelor, Jake",188.0,88.0,13-Feb-1992,Defender,Dandenong Stingrays
2012693506.0,"Elton, Todd",197.0,100.0,29-Apr-1993,Forward,Dandenong Stingrays
2010719862.0,"Griffiths, Ben",200.0,101.0,17-Sep-1991,Forward,Eastern Ranges
2010723176.0,"Hunt, Taylor",184.0,80.0,5-Nov-1990,Defender,Sandringham Dragons
2014765217.0,"Lennon, Ben",188.0,84.0,5-Jul-1995,Forward,Northern Knights
2012775227.0,"Morris, Steven",185.0,83.0,31-Dec-1988,Defender,West Adelaide
2002777090.0,"Montagna, Leigh",178.0,76.0,2-Nov-1983,Defender,Northern Knights
2001823842.0,"Riewoldt, Nick",193.0,92.0,17-Oct-1982,Forward,Southport
2016707219.0,"Foote, Jordan",183.0,82.0,2-Jan-1996,"Midfield, Forward",Unsw-easts
2013742144.0,"Jack, Brandon",182.0,80.0,25-May-1994,"Midfield, Forward",Pennant Hills
2009765343.0,"Laidler, Jeremy",190.0,91.0,5-Aug-1989,Defender,Calder Cannons
2008845101.0,"Tippett, Kurt",202.0,105.0,8-May-1987,"Forward, Ruck",Southport
2004669429.0,"Butler, Sam",187.0,86.0,14-Jan-1986,Defender,Central District
2012715261.0,"Giles, Jonathan",201.0,101.0,8-Jan-1988,Ruck,Central District
2007723471.0,"Hill, Josh",186.0,85.0,19-Jan-1989,Forward,Claremont
2016753899.0,"Karpany, Malcolm",176.0,73.0,1-Jun-1995,Forward,Woodville-West Torrens
2007772585.0,"Mackenzie, Eric",197.0,100.0,19-May-1988,Defender,Claremont
2002775293.0,"Mitchell, Sam",180.0,84.0,12-Oct-1982,Midfield,Eastern Ranges
2017772257.0,"Mutimer, Kurt",184.0,81.0,11-Mar-1997,Defender,Dandenong Stingrays
2017803001.0,"Partington, Luke",181.0,79.0,5-Mar-1997,Forward,Norwood
2001801982.0,"Petrie, Drew",197.0,101.0,15-Oct-1982,Forward,North Ballarat Rebels
2006804563.0,"Priddis, Matt",184.0,90.0,21-Mar-1985,Midfield,Subiaco
2008879314.0,"Wellingham, Sharrod",185.0,85.0,7-Jul-1988,Defender,Perth
2003661535.0,"Boyd, Matthew",184.0,88.0,27-Aug-1982,Defender,Dandenong Stingrays
2005673207.0,"Cloke, Travis",196.0,105.0,5-Mar-1987,Forward,Eastern Ranges
2000776043.0,"Murphy, Robert",187.0,81.0,9-Jun-1982,Defender,Gippsland Power
2009806801.0,"Picken, Liam",184.0,83.0,1-Aug-1986,Forward,Williamstown
2012833342.0,"Smith, Clay",181.0,85.0,11-May-1993,Forward,Gippsland Power
20051181200.0,"van Berlo, Nathan",184.0,83.0,6-Jun-1986,"Defender, Midfield",West Perth
2016671933.0,"Clayton, Josh",190.0,80.0,17-Jan-1996,Midfield,Sandringham Dragons
2015698557.0,"Evans, Billy",187.0,87.0,19-Oct-1996,"Midfield, Forward",Bendigo Pioneers
2014703691.0,"Freeman, Jonathan",198.0,96.0,27-Apr-1994,Forward,Aspley
2005771138.0,"Merrett, Daniel",195.0,103.0,12-Dec-1984,Defender,Southport
2012809847.0,"Paine, Jackson",192.0,95.0,21-Jun-1993,Forward,Sandringham Dragons
2008875980.0,"West, Trent",199.0,103.0,17-Oct-1987,"Forward, Ruck",Gippsland Power
2016878199.0,"William, Reuben",189.0,87.0,31-Dec-1997,Defender,Zillmere
2007699922.0,"Everitt, Andrejs",194.0,90.0,13-Mar-1989,Forward,Dandenong Stingrays
2011717073.0,"Gorringe, Daniel",200.0,96.0,2-Jun-1992,"Forward, Ruck",Norwood
2013741198.0,"Jaksch, Kristian",196.0,90.0,7-Oct-1994,"Defender, Forward",Oakleigh Chargers
2007743432.0,"Jamison, Michael",193.0,97.0,11-Jun-1986,Defender,North Ballarat Rebels
2011849852.0,"Tutt, Jason",177.0,81.0,15-May-1991,Midfield,Ainslie
2004872188.0,"Walker, Andrew",190.0,89.0,18-May-1986,"Defender, Forward",Bendigo Pioneers
2012875086.0,"Whiley, Mark",188.0,87.0,1-Dec-1992,Midfield,Finley
2014713700.0,"Gault, Corey",200.0,97.0,28-Oct-1992,Forward,Swan Districts
2016718608.0,"Goodyear, Matthew",185.0,79.0,20-Jul-1996,Midfield,Calder Cannons
2009775586.0,"Macaffer, Brent",187.0,90.0,29-Feb-1988,Midfield,Gippsland Power
2011832365.0,"Sinclair, Ben",183.0,80.0,1-Oct-1991,Defender,Oakleigh Chargers
2003833172.0,"Swan, Dane",185.0,93.0,25-Feb-1984,Midfield,Calder Cannons
2007844339.0,"Toovey, Alan",189.0,89.0,23-Mar-1987,Defender,Claremont
2014658541.0,"Ashby, Jason",187.0,77.0,16-May-1994,Defender,Oakleigh Chargers
2004676124.0,"Cooney, Adam",187.0,83.0,30-Sep-1985,Forward,West Adelaide
2005674327.0,"Crowley, Ryan",188.0,88.0,5-Mar-1984,Midfield,Calder Cannons
2006687473.0,"Dempsey, Courtenay",185.0,80.0,28-Aug-1987,Defender,Morningside
2012692229.0,"Edwards, Shaun",189.0,83.0,13-Dec-1993,"Midfield, Forward",Northern Territory
2009714554.0,"Grima, Nathan",192.0,94.0,5-Aug-1985,Defender,Central District
2013717372.0,"Grimley, Sam",199.0,96.0,3-Jan-1991,"Forward, Ruck",Northern Knights
2005712694.0,"Gwilt, James",188.0,96.0,11-Aug-1986,Defender,Noble Park
2013725318.0,"Hams, Will",180.0,71.0,14-Jul-1994,Forward,Northern Knights
2003742162.0,"Jamar, Mark",198.0,101.0,9-Aug-1983,Ruck,North Adelaide
2013755643.0,"Kommer, Nick",185.0,78.0,28-Sep-1990,Forward,East Perth
2013774310.0,"Michael, Sam",199.0,98.0,5-Jul-1993,Ruck,Redland
2008801314.0,"Polkinghorne, James",184.0,87.0,21-Jan-1989,Midfield,Calder Cannons
2012835114.0,"Simpkin, Jonathan",181.0,81.0,28-Oct-1987,"Midfield, Forward",Geelong Falcons
2006838296.0,"Stokes, Mathew",176.0,75.0,22-Nov-1984,"Midfield, Forward",Woodville-West Torrens
2013729886.0,"Hannath, Jack",201.0,102.0,9-Jul-1991,"Forward, Ruck",Central District
2000807726.0,"Pavlich, Matthew",192.0,99.0,31-Dec-1981,Forward,Woodville-West Torrens
2009808725.0,"Pearce, Clancee",182.0,85.0,23-Oct-1990,"Defender, Midfield",Swan Districts
2013831213.0,"Smith, Tanner",196.0,90.0,8-Mar-1994,Defender,North Ballarat Rebels
2016892098.0,"Yarran, Shane",185.0,79.0,2-Jun-1989,Forward,Subiaco Lions
2014672695.0,"Cameron, Clay",191.0,86.0,27-May-1994,"Defender, Forward",Mt Gravatt
2005779565.0,"Malceski, Nick",189.0,86.0,15-Aug-1984,Defender,Eastern Ranges
2011781862.0,"Nicholls, Tom",203.0,102.0,4-Mar-1992,Ruck,Sandringham Dragons
2011825234.0,"Russell, Luke",186.0,83.0,24-Jan-1992,"Midfield, Forward",Burnie Dockers
2011846205.0,"Tape, Seb",191.0,83.0,6-Aug-1992,Defender,Glenelg
2002669240.0,"Bartel, Jimmy",187.0,87.0,4-Dec-1983,"Defender, Midfield",Geelong Falcons
2006671443.0,"Clark, Mitch",200.0,103.0,19-Oct-1987,Forward,East Fremantle
2001699973.0,"Enright, Corey",187.0,90.0,14-Sep-1981,Defender,Port Adelaide
