gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R1203,2021.0,R12,05-Jun-2021,Adelaide Oval,4:05 PM,30446.0,Adelaide,73.0,Collingwood,78.0,0.2
2021R1204,2021.0,R12,05-Jun-2021,Perth Stadium,5:40 PM,55656.0,Essendon,84.0,Richmond,123.0,0.0
2021R1205,2021.0,R12,06-Jun-2021,S.C.G.,3:20 PM,5137.0,Carlton,73.0,West Coast,95.0,0.0
2021R1206,2021.0,R12,06-Jun-2021,Perth Stadium,4:40 PM,32875.0,Fremantle,65.0,Western Bulldogs,93.0,0.0
2021R1301,2021.0,R13,10-Jun-2021,Adelaide Oval,7:10 PM,28718.0,Port Adelaide,91.0,Geelong,112.0,0.0
2021R1302,2021.0,R13,11-Jun-2021,S.C.G.,7:50 PM,25904.0,Sydney,51.0,Hawthorn,89.0,5.6
2021R1303,2021.0,R13,12-Jun-2021,Perth Stadium,2:15 PM,27318.0,Fremantle,76.0,Gold Coast,49.0,0.2
2021R1304,2021.0,R13,12-Jun-2021,Cazaly's Stadium,7:25 PM,5969.0,St Kilda,60.0,Adelaide,66.0,
2021R1305,2021.0,R13,13-Jun-2021,Bellerive Oval,3:20 PM,3462.0,North Melbourne,94.0,Greater Western Sydney,94.0,3.4
2021R1306,2021.0,R13,13-Jun-2021,Perth Stadium,5:20 PM,50834.0,West Coast,85.0,Richmond,81.0,0.0
2021R1307,2021.0,R13,14-Jun-2021,S.C.G.,3:20 PM,16453.0,Melbourne,63.0,Collingwood,80.0,0.0
2021R1401,2021.0,R14,18-Jun-2021,Kardinia Park,7:50 PM,6583.0,Geelong,83.0,Western Bulldogs,78.0,0.0
2021R1402,2021.0,R14,19-Jun-2021,Carrara,1:45 PM,7117.0,Gold Coast,31.0,Port Adelaide,81.0,0.0
2021R1403,2021.0,R14,19-Jun-2021,Bellerive Oval,4:35 PM,5060.0,North Melbourne,45.0,Brisbane Lions,68.0,0.6
2021R1404,2021.0,R14,19-Jun-2021,Sydney Showground,7:25 PM,7035.0,Greater Western Sydney,102.0,Carlton,66.0,2.4
2021R1405,2021.0,R14,20-Jun-2021,York Park,3:20 PM,14834.0,Hawthorn,73.0,Essendon,86.0,0.0
2021R1501,2021.0,R15,24-Jun-2021,Gabba,7:30 PM,29024.0,Brisbane Lions,94.0,Geelong,50.0,0.8
2021R1502,2021.0,R15,25-Jun-2021,M.C.G.,7:50 PM,14787.0,Richmond,22.0,St Kilda,62.0,0.0
2021R1503,2021.0,R15,26-Jun-2021,Docklands,1:45 PM,11570.0,Collingwood,79.0,Fremantle,91.0,4.3
2021R1504,2021.0,R15,26-Jun-2021,Bellerive Oval,1:45 PM,6719.0,North Melbourne,72.0,Gold Coast,63.0,0.0
2021R1505,2021.0,R15,26-Jun-2021,Adelaide Oval,4:05 PM,29631.0,Port Adelaide,81.0,Sydney,71.0,2.2
2021R1506,2021.0,R15,26-Jun-2021,M.C.G.,7:25 PM,19414.0,Essendon,57.0,Melbourne,68.0,4.3
2021R1507,2021.0,R15,27-Jun-2021,M.C.G.,1:10 PM,9897.0,Greater Western Sydney,72.0,Hawthorn,90.0,0.2
2021R1508,2021.0,R15,27-Jun-2021,Perth Stadium,1:20 PM,0.0,West Coast,43.0,Western Bulldogs,98.0,0.0
2021R1509,2021.0,R15,27-Jun-2021,Docklands,4:10 PM,14930.0,Carlton,83.0,Adelaide,73.0,0.2
2021R1601,2021.0,R16,01-Jul-2021,Docklands,7:20 PM,9327.0,Gold Coast,77.0,Richmond,67.0,0.0
2021R1602,2021.0,R16,02-Jul-2021,Kardinia Park,7:50 PM,15579.0,Geelong,98.0,Essendon,57.0,0.6
2021R1603,2021.0,R16,03-Jul-2021,M.C.G.,1:45 PM,16963.0,Melbourne,55.0,Greater Western Sydney,64.0,7.0
2021R1604,2021.0,R16,03-Jul-2021,Adelaide Oval,4:05 PM,16178.0,Adelaide,59.0,Brisbane Lions,111.0,6.6
2021R1605,2021.0,R16,03-Jul-2021,M.C.G.,7:40 PM,12103.0,Fremantle,64.0,Carlton,80.0,7.0
2021R1606,2021.0,R16,03-Jul-2021,Docklands,7:40 PM,18251.0,Hawthorn,53.0,Port Adelaide,87.0,7.0
2021R1607,2021.0,R16,04-Jul-2021,Kardinia Park,1:10 PM,9520.0,Sydney,118.0,West Coast,26.0,1.0
2021R1608,2021.0,R16,04-Jul-2021,M.C.G.,3:20 PM,18082.0,Collingwood,61.0,St Kilda,70.0,0.4
2021R1609,2021.0,R16,04-Jul-2021,Docklands,4:40 PM,18216.0,Western Bulldogs,108.0,North Melbourne,79.0,0.4
2021R1701,2021.0,R17,08-Jul-2021,Adelaide Oval,7:10 PM,30908.0,Port Adelaide,55.0,Melbourne,86.0,0.0
2021R1702,2021.0,R17,09-Jul-2021,Docklands,7:50 PM,23604.0,Essendon,84.0,Adelaide,21.0,0.0
2021R1703,2021.0,R17,10-Jul-2021,York Park,1:45 PM,9111.0,Hawthorn,46.0,Fremantle,108.0,0.0
2021R1704,2021.0,R17,10-Jul-2021,M.C.G.,4:35 PM,31834.0,Carlton,44.0,Geelong,70.0,0.0
2021R1705,2021.0,R17,10-Jul-2021,Carrara,7:25 PM,9075.0,Brisbane Lions,63.0,St Kilda,95.0,1.6
2021R1706,2021.0,R17,11-Jul-2021,Eureka Stadium,12:40 PM,2952.0,Greater Western Sydney,64.0,Gold Coast,65.0,0.2
2021R1707,2021.0,R17,11-Jul-2021,Docklands,3:20 PM,24817.0,Western Bulldogs,60.0,Sydney,79.0,0.0
2021R1708,2021.0,R17,11-Jul-2021,M.C.G.,4:10 PM,29437.0,Richmond,71.0,Collingwood,87.0,0.0
2021R1709,2021.0,R17,12-Jul-2021,Perth Stadium,5:40 PM,30515.0,West Coast,60.0,North Melbourne,70.0,9.6
2021R1801,2021.0,R18,15-Jul-2021,Perth Stadium,6:10 PM,35271.0,Fremantle,31.0,Geelong,100.0,2.0
2021R1802,2021.0,R18,16-Jul-2021,Carrara,8:05 PM,4119.0,Richmond,106.0,Brisbane Lions,86.0,0.4
2021R1803,2021.0,R18,17-Jul-2021,Docklands,1:45 PM,0.0,St Kilda,61.0,Port Adelaide,74.0,0.8
2021R1804,2021.0,R18,17-Jul-2021,Carrara,4:35 PM,8244.0,Gold Coast,79.0,Western Bulldogs,90.0,0.4
2021R1805,2021.0,R18,17-Jul-2021,M.C.G.,7:25 PM,0.0,Melbourne,79.0,Hawthorn,79.0,0.8
2021R1806,2021.0,R18,18-Jul-2021,Carrara,12:35 PM,5114.0,North Melbourne,74.0,Essendon,92.0,0.0
2021R1807,2021.0,R18,18-Jul-2021,M.C.G.,3:20 PM,0.0,Collingwood,62.0,Carlton,91.0,4.4
2021R1808,2021.0,R18,18-Jul-2021,Adelaide Oval,4:10 PM,24554.0,Adelaide,56.0,West Coast,98.0,0.8
2021R1809,2021.0,R18,18-Jul-2021,Carrara,6:10 PM,2374.0,Greater Western Sydney,72.0,Sydney,98.0,0.0
2021R1901,2021.0,R19,23-Jul-2021,Docklands,7:10 PM,0.0,Port Adelaide,97.0,Collingwood,69.0,0.0
2021R1902,2021.0,R19,24-Jul-2021,Docklands,1:45 PM,0.0,Carlton,77.0,North Melbourne,116.0,0.0
2021R1903,2021.0,R19,24-Jul-2021,Gabba,3:10 PM,16660.0,Brisbane Lions,120.0,Gold Coast,71.0,4.2
2021R1904,2021.0,R19,24-Jul-2021,Perth Stadium,2:35 PM,43657.0,West Coast,94.0,St Kilda,86.0,2.0
2021R1905,2021.0,R19,24-Jul-2021,M.C.G.,7:25 PM,0.0,Melbourne,65.0,Western Bulldogs,85.0,0.0
2021R1906,2021.0,R19,24-Jul-2021,Docklands,7:40 PM,0.0,Adelaide,102.0,Hawthorn,83.0,0.0
2021R1907,2021.0,R19,25-Jul-2021,Carrara,12:30 PM,2875.0,Sydney,98.0,Fremantle,58.0,0.0
2021R1908,2021.0,R19,25-Jul-2021,M.C.G.,3:20 PM,0.0,Geelong,95.0,Richmond,57.0,0.0
2021R1909,2021.0,R19,25-Jul-2021,Carrara,6:10 PM,2681.0,Essendon,53.0,Greater Western Sydney,66.0,0.0
2021R2001,2021.0,R20,30-Jul-2021,Docklands,7:50 PM,0.0,St Kilda,81.0,Carlton,112.0,0.0
2021R2002,2021.0,R20,31-Jul-2021,Eureka Stadium,12:20 PM,0.0,Western Bulldogs,105.0,Adelaide,56.0,0.2
2021R2003,2021.0,R20,31-Jul-2021,Bellerive Oval,1:15 PM,8033.0,North Melbourne,42.0,Geelong,62.0,0.4
2021R2004,2021.0,R20,31-Jul-2021,M.C.G.,4:15 PM,0.0,Collingwood,90.0,West Coast,45.0,0.0
2021R2005,2021.0,R20,01-Aug-2021,Docklands,12:10 PM,0.0,Gold Coast,30.0,Melbourne,128.0,19.2
2021R2006,2021.0,R20,01-Aug-2021,York Park,2:10 PM,5381.0,Hawthorn,92.0,Brisbane Lions,80.0,13.0
2021R2007,2021.0,R20,01-Aug-2021,M.C.G.,3:10 PM,0.0,Essendon,102.0,Sydney,109.0,19.2
2021R2008,2021.0,R20,01-Aug-2021,Perth Stadium,3:10 PM,24979.0,Fremantle,55.0,Richmond,51.0,8.8
2021R2009,2021.0,R20,01-Aug-2021,Docklands,6:10 PM,0.0,Greater Western Sydney,73.0,Port Adelaide,100.0,19.2
2021R2101,2021.0,R21,06-Aug-2021,Kardinia Park,7:50 PM,0.0,Geelong,65.0,Greater Western Sydney,84.0,0.2
2021R2102,2021.0,R21,07-Aug-2021,Docklands,1:45 PM,0.0,Carlton,57.0,Gold Coast,76.0,0.6
2021R2103,2021.0,R21,07-Aug-2021,M.C.G.,4:35 PM,0.0,Richmond,89.0,North Melbourne,56.0,0.6
2021R2104,2021.0,R21,07-Aug-2021,Adelaide Oval,7:10 PM,14736.0,Adelaide,51.0,Port Adelaide,55.0,1.4
2021R2105,2021.0,R21,07-Aug-2021,Docklands,7:40 PM,0.0,St Kilda,93.0,Sydney,64.0,0.6
2021R2106,2021.0,R21,08-Aug-2021,M.C.G.,2:10 PM,0.0,Hawthorn,97.0,Collingwood,78.0,1.0
2021R2107,2021.0,R21,08-Aug-2021,Docklands,3:20 PM,0.0,Western Bulldogs,84.0,Essendon,97.0,1.0
2021R2108,2021.0,R21,08-Aug-2021,Perth Stadium,3:10 PM,29589.0,Fremantle,54.0,Brisbane Lions,118.0,3.8
2021R2109,2021.0,R21,09-Aug-2021,Perth Stadium,6:10 PM,31584.0,West Coast,63.0,Melbourne,72.0,5.2
2021R2201,2021.0,R22,13-Aug-2021,Docklands,7:50 PM,0.0,Greater Western Sydney,106.0,Richmond,67.0,0.0
2021R2202,2021.0,R22,14-Aug-2021,York Park,1:45 PM,7822.0,Hawthorn,64.0,Western Bulldogs,37.0,0.0
